screen,ui_field,direction,api_endpoint,api_field
Admin Edit Promo Code,Discount value,receive,GET /promo-codes/{promoCodeId},discount_value
Admin Edit Promo Code,Minimum order value,receive,GET /promo-codes/{promoCodeId},minimum_order_paise
Admin Edit Promo Code,Max uses,receive,GET /promo-codes/{promoCodeId},max_uses
Admin Edit Promo Code,Used count,receive,GET /promo-codes/{promoCodeId},used_count
Admin Edit Promo Code,Expiry date,receive,GET /promo-codes/{promoCodeId},expires_at
Admin Edit Promo Code,Active status,receive,GET /promo-codes/{promoCodeId},is_active
Admin Edit Promo Code,Promo code,send,PUT /promo-codes/{promoCodeId},code
Admin Edit Promo Code,Discount type,send,PUT /promo-codes/{promoCodeId},discount_type
Admin Edit Promo Code,Discount value,send,PUT /promo-codes/{promoCodeId},discount_value
Admin Edit Promo Code,Minimum order value,send,PUT /promo-codes/{promoCodeId},minimum_order_paise
Admin Edit Promo Code,Max uses,send,PUT /promo-codes/{promoCodeId},max_uses
Admin Edit Promo Code,Expiry date,send,PUT /promo-codes/{promoCodeId},expires_at
Admin Edit Promo Code,Active status,send,PUT /promo-codes/{promoCodeId},is_active
Admin Returns,Return ID,receive,GET /return-requests,id
Admin Returns,Order #,receive,GET /return-requests,order_id
Admin Returns,Reason,receive,GET /return-requests,reason
Admin Returns,Status,receive,GET /return-requests,status
Admin Returns,Requested At,receive,GET /return-requests,created_at
Admin Return Detail,Return Request ID,receive,GET /return-requests/{returnRequestId},id
Admin Return Detail,Order Number,receive,GET /return-requests/{returnRequestId},order_id
Admin Return Detail,Customer Name,receive,GET /return-requests/{returnRequestId},requested_by
Admin Return Detail,Submitted On,receive,GET /return-requests/{returnRequestId},created_at
Admin Return Detail,Status badge,receive,GET /return-requests/{returnRequestId},status
Admin Return Detail,Return Reason,receive,GET /return-requests/{returnRequestId},reason
Admin Return Detail,Item quantity,receive,GET /orders/{orderId},items.quantity
Admin Return Detail,Unit price,receive,GET /orders/{orderId},items.unit_price_paise
Admin Return Detail,Return window expires,receive,GET /orders/{orderId},items.return_window_days
Admin Return Detail,Review notes,send,POST /return-requests/{returnRequestId}/review,rejection_reason
Admin Return Detail,Approve & Refund,send,POST /return-requests/{returnRequestId}/review,action
Admin Return Detail,Reject Request,send,POST /return-requests/{returnRequestId}/review,action
Admin Return Detail,Reviewed by,receive,GET /return-requests/{returnRequestId},reviewed_by
Admin Return Detail,Reviewed at,receive,GET /return-requests/{returnRequestId},reviewed_at
Admin Return Detail,Rejection reason,receive,GET /return-requests/{returnRequestId},rejection_reason
Admin Reports,From date,send,GET /admin/reports,from
Admin Reports,To date,send,GET /admin/reports,to
Admin Reports,Total Orders,receive,GET /admin/reports,total_orders
Admin Reports,Gross Revenue,receive,GET /admin/reports,total_revenue_paise
Admin Reports,Total Refunds,receive,GET /admin/reports,total_refunds_paise
Admin Reports,Order status breakdown,receive,GET /admin/reports,orders_by_status
Admin Reports,Top products,receive,GET /admin/reports,top_products
Admin Reports,Promo code,receive,GET /promo-codes,code
Admin Reports,Times used,receive,GET /promo-codes,used_count
Admin Reports,Promo status,receive,GET /promo-codes,is_active
Admin User List,Total users,receive,GET /users,total_items
Admin User List,Full name,receive,GET /users/{userId},full_name
Admin User List,Email,receive,GET /users/{userId},email
Admin User List,Phone,receive,GET /users/{userId},phone
Admin User List,Roles,receive,GET /users/{userId},role_id
Admin User List,Status,receive,GET /users/{userId},is_active
Admin User List,Registered at,receive,GET /users/{userId},created_at
Admin User Detail,Full name,receive,GET /users/{userId},full_name
Admin User Detail,Email,receive,GET /users/{userId},email
Admin User Detail,Phone,receive,GET /users/{userId},phone
Admin User Detail,User ID,receive,GET /users/{userId},id
Admin User Detail,Account status badge,receive,GET /users/{userId},is_active
Admin User Detail,Created,receive,GET /users/{userId},created_at
Admin User Detail,Last updated,receive,GET /users/{userId},updated_at
Admin User Detail,Current roles,receive,GET /users/{userId},role_id
Admin User Detail,Full name,send,PATCH /users/{userId},full_name
Admin User Detail,Phone,send,PATCH /users/{userId},phone
Admin User Detail,Deactivate account,send,DELETE /users/{userId},message
